"","municipio_codigo","municipio","uf","latitude","longitude","n","s"
"326",2103604,"COROATA","MA",-4.13442,-44.1244,15,5
"327",2103703,"CURURUPU","MA",-1.81475,-44.8644,0,1
"328",2103752,"DAVINOPOLIS","MA",-5.54637,-47.4217,0,13
"329",2103802,"DOM PEDRO","MA",-5.03518,-44.4409,2,12
"330",2103901,"DUQUE BACELAR","MA",-4.15002,-42.9477,0,4
"331",2104008,"ESPERANTINOPOLIS","MA",-4.87938,-44.6926,0,1
"332",2104057,"ESTREITO","MA",-6.56077,-47.4431,8,8
"333",2104099,"FORMOSA DA SERRA NEGRA","MA",-6.44017,-46.1916,0,1
"334",2104107,"FORTALEZA DOS NOGUEIRAS","MA",-6.95983,-46.1749,0,8
"335",2104206,"FORTUNA","MA",-5.72792,-44.1565,0,2
"336",2104404,"GONCALVES DIAS","MA",-5.1475,-44.3013,0,1
"337",2104503,"GOVERNADOR ARCHER","MA",-5.02078,-44.2754,0,3
"338",2104552,"GOVERNADOR EDISON LOBAO","MA",-5.74973,-47.3646,0,2
"339",2104602,"GOVERNADOR EUGENIO BARROS","MA",-5.31897,-44.2469,0,1
"340",2104628,"GOVERNADOR LUIZ ROCHA","MA",-5.47835,-44.0774,2,0
"341",2104677,"GOVERNADOR NUNES FREIRE","MA",-2.12899,-45.8777,0,1
"342",2104800,"GRAJAU","MA",-5.81367,-46.1462,13,28
"343",2105104,"ICATU","MA",-2.77206,-44.0501,0,1
"344",2105203,"IGARAPE GRANDE","MA",-4.6625,-44.8558,2,1
"345",2105302,"IMPERATRIZ","MA",-5.51847,-47.4777,83,106
"346",2105401,"ITAPECURU MIRIM","MA",-3.40202,-44.3508,11,4
"347",2105427,"ITINGA DO MARANHAO","MA",-4.45293,-47.5235,0,4
"348",2105450,"JATOBA","MA",-5.82282,-44.2153,0,1
"349",2105708,"LAGO DA PEDRA","MA",-4.56974,-45.1319,5,6
"350",2105807,"LAGO DO JUNCO","MA",-4.609,-45.049,0,1
"351",2105906,"LAGO VERDE","MA",-3.94661,-44.826,1,5
"352",2105948,"LAGOA DOS RODRIGUES","MA",-4.61173,-44.9798,0,5
"353",2105989,"LAJEADO NOVO","MA",-6.18539,-47.0293,0,1
"354",2106003,"LIMA CAMPOS","MA",-4.51837,-44.4646,0,2
"355",2106409,"MATA ROMA","MA",-3.62035,-43.1112,0,2
"356",2106508,"MATINHA","MA",-3.09849,-45.035,0,1
"357",2106607,"MATOES","MA",-5.51359,-43.2018,0,5
"358",2106706,"MIRADOR","MA",-6.37454,-44.3683,1,0
"359",2107357,"NOVA OLINDA DO MARANHAO","MA",-2.84227,-45.6953,0,1
"360",2107506,"PACO DO LUMIAR","MA",-2.51657,-44.1019,6,1
"361",2107704,"PARAIBANO","MA",-6.4264,-43.9792,0,4
"362",2107803,"PARNARAMA","MA",-5.67365,-43.1011,1,1
"363",2108009,"PASTOS BONS","MA",-6.60296,-44.0745,3,6
"364",2108058,"PAULINO NEVES","MA",-2.72094,-42.5258,1,0
"365",2108207,"PEDREIRAS","MA",-4.56482,-44.6006,0,3
"366",2108504,"PINDARE MIRIM","MA",-3.60985,-45.342,0,2
"367",2108603,"PINHEIRO","MA",-2.52224,-45.0788,1,14
"368",2108900,"POCAO DE PEDRAS","MA",-4.74626,-44.9432,0,1
"369",2109007,"PORTO FRANCO","MA",-6.34149,-47.3962,1,21
