,cnae_fiscal,cnae_fiscal_desc,uf,mun,quant,mun_uf,codigo_ibge,latitude,longitude;
169,810007,Extração de argila e beneficiamento associado,sc,vidal ramos,0.01,vidal ramos - sc,4219200,-27.3886,-49.3593;
170,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,campo alegre,0.01,campo alegre - sc,4203303,-26.195,-49.2676;
171,899199,Extração de outros minerais não metálicos não especificados anteriormente,sc,campo alegre,0.01,campo alegre - sc,4203303,-26.195,-49.2676;
"172,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,0.3,ipero - sp,3521002,-23.3513,-47.6927";
"173,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,1400.0,ipero - sp,3521002,-23.3513,-47.6927";
"174,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,1400.0,ipero - sp,3521002,-23.3513,-47.6927";
"175,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,1400.0,ipero - sp,3521002,-23.3513,-47.6927";
"176,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,1400.0,ipero - sp,3521002,-23.3513,-47.6927";
"177,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,1000.0,ipero - sp,3521002,-23.3513,-47.6927";
"178,810006,""Extração de areia, cascalho ou pedregulho e beneficiamento associado"",sp,ipero,1000.0,ipero - sp,3521002,-23.3513,-47.6927";
"179,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,27.13,porto uniao - sc,4213609,-26.2451,-51.0759";
"180,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,68.6,porto uniao - sc,4213609,-26.2451,-51.0759";
"181,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,42.24,porto uniao - sc,4213609,-26.2451,-51.0759";
"182,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,16.75,porto uniao - sc,4213609,-26.2451,-51.0759";
"183,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,3.04,porto uniao - sc,4213609,-26.2451,-51.0759";
"184,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,3.19,porto uniao - sc,4213609,-26.2451,-51.0759";
"185,1099605,""Fabricação de produtos para infusão (chá, mate, etc.)"",sc,porto uniao,1.82,porto uniao - sc,4213609,-26.2451,-51.0759";
"186,1340502,""Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"",pe,toritama,0.11,toritama - pe,2615409,-8.00955,-36.0637";
"187,1340502,""Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"",pe,toritama,1.0,toritama - pe,2615409,-8.00955,-36.0637";
"188,1340502,""Alvejamento, tingimento e torção em fios, tecidos, artefatos têxteis e peças do vestuário"",pe,toritama,1.0,toritama - pe,2615409,-8.00955,-36.0637";
"189,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,39.7,imbituva - pr,4110102,-25.2285,-50.5989";
"190,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,93.67,imbituva - pr,4110102,-25.2285,-50.5989";
"191,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,79.78,imbituva - pr,4110102,-25.2285,-50.5989";
"192,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,96.0,imbituva - pr,4110102,-25.2285,-50.5989";
"193,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,251.48,imbituva - pr,4110102,-25.2285,-50.5989";
"194,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,43.37,imbituva - pr,4110102,-25.2285,-50.5989";
"195,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,163.66,imbituva - pr,4110102,-25.2285,-50.5989";
"196,1621800,""Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada"",pr,imbituva,83.58,imbituva - pr,4110102,-25.2285,-50.5989";
197,230600,Atividades de apoio à produção florestal,pr,palmas,470.0,palmas - pr,4117602,-26.4839,-51.9888;
198,230600,Atividades de apoio à produção florestal,pr,palmas,367.0,palmas - pr,4117602,-26.4839,-51.9888;
