"","data_inicio_fogo","localidade","mun","uf","tipo_item","provavel_causa","lat","lng"
"2981","20/08/2019 11:08:00","PORTO DA MANGA","CORUMBA","MS","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-19.239161,-57.243389
"2982","16/08/2019 11:08:00","ARARIBOIA ZUTIWA","AMARANTE DO MARANHAO","MA","OUTRAS CAUSAS","VANDALISMO",-5.2246362,-46.2068199
"2983","08/10/2019 08:10:00","BARREIRAS","BARREIRAS","BA","OUTRAS CAUSAS","VANDALISMO",-12.1477483,-44.9953475
"2984","21/08/2019 17:08:00","Linha V-05 - Cotriguaçú","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030759,-58.5657137
"2985","03/09/2019 13:09:00","PA OLHO D AGUA I / MOJU","MOJU","PA","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-2.2524163,-48.7918587
"2986","08/09/2019 10:09:00","Fazenda Rancho Alegre","SERRA TALHADA","PE","OUTRAS CAUSAS","VANDALISMO",-8.3128418,-38.4956378
"2987","02/12/2019 14:12:00","PA OLHO D AGUA I / MOJU","MOJU","PA","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-2.2524163,-48.7918587
"2988","17/08/2020 15:08:00","Aldeia Papagaio II","TANGARA DA SERRA","MT","OUTRAS CAUSAS","INDETERMINADO",-14.6061852,-57.4703481
"2989","29/08/2020 15:08:00","LH 02 Muriru","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.9030481,-58.5657066
"2990","13/09/2020 07:09:00","ALTO RIO GUAMÁ","PARAGOMINAS","PA","OUTRAS CAUSAS","INDETERMINADO",-2.3220802,-46.7695942
"2991","30/10/2019 14:10:00","BR 262","CORUMBA","MS","OUTRAS CAUSAS","INDETERMINADO",-19.0108492,-57.6507783
"2992","04/04/2020 19:04:00","SERRA DA MOÇA","BOA VISTA","RR",NA,NA,3.2705054,-60.6745864
"2993","21/03/2020 18:03:00","TABALASCADA","CANTA","RR","ATIVIDADE AGROPECUÁRIA","QUEIMA DE CANA-DE-AÇUCAR",2.6862791,-60.6017441
"2994","12/09/2019 11:09:00","Linha 19, Nova União - Cotriguaçú","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM PLANTADA",-9.3673106,-58.9534449
"2995","20/08/2017 12:08:00","PARQUE NATURAL MUNICIPAL DE ANDARAÍ ROTA DAS CACHOEIRAS","ANDARAI","BA","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-12.7872832,-41.3629205
"2996","06/09/2019 12:09:00","KADIWÉU","PORTO MURTINHO","MS","OUTRAS CAUSAS","INDETERMINADO",-20.7648109,-57.3108377
"2997","03/08/2018 10:08:00","BR 262","CORUMBA","MS","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",-19.0108492,-57.6507783
"2998","10/10/2017 14:10:00","BR MT-170 / Nova União - Cotriguaçú","COTRIGUACU","MT","OUTRAS CAUSAS","INDETERMINADO",-9.3669037,-58.951555
"2999","18/07/2018 15:07:00","Fazenda três irmãos","FLORIANO","PI",NA,NA,-6.7696623,-43.0079519
"3000","12/02/2016 10:02:00","RAPOSA SERRA DO SOL","UIRAMUTA","RR","OUTRAS CAUSAS","INDETERMINADO",4.4007377,-60.3597208
"3001","23/07/2019 12:07:00","BR 317 - Estrada do Pacífico -  KM 47 + 2,5 km de Ramal","BRASILEIA","AC","ATIVIDADE AGROPECUÁRIA","QUEIMA DE RESTOS DE EXPLORAÇÃO",-11.0150888,-68.7436628
"3002","18/02/2016 16:02:00","RAPOSA SERRA DO SOL","UIRAMUTA","RR","OUTRAS CAUSAS","INDETERMINADO",4.4007377,-60.3597208
"3003","14/08/2019 13:08:00","SAO GABRIEL","CORUMBA","MS","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",-19.2042644,-56.2451825
"3004","11/08/2019 17:08:00","MARAIWATSEDE","ALTO BOA VISTA","MT","OUTRAS CAUSAS","INDETERMINADO",-11.7036923,-51.6244307
"3005","10/08/2017 07:08:00","PARNA DA CHAPADA DOS VEADEIROS","CAVALCANTE","GO",NA,NA,-14.0388664,-47.6229713
"3006","29/07/2016 09:07:00","Fazenda Capão do Barreiro","POCONE","MT",NA,NA,-16.266471,-56.626599
"3007","21/09/2016 14:09:00","Comunidade Sol Nascente","NOVA BANDEIRANTES","MT",NA,NA,-10.2471901,-57.9654674
"3008","26/10/2018 14:10:00","MONTE ALEGRE","MONTE ALEGRE","PA",NA,NA,-2.0009526,-54.0735023
"3009","29/09/2019 12:09:00","ARARIBOIA ZUTIWA","AMARANTE DO MARANHAO","MA","OUTRAS CAUSAS","INDETERMINADO",-5.2246362,-46.2068199
"3010","01/08/2017 11:08:00","Albuquerque","CORUMBA","MS","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-19.407695,-57.4090469
"3011","22/08/2017 16:08:00","SETOR CHACAREIRO","COTRIGUACU","MT","ATIVIDADE AGROPECUÁRIA","QUEIMA DE LIXO",-9.9052987,-58.5698988
"3012","07/02/2019 19:02:00","CANAUANIM","CANTA","RR","OUTRAS CAUSAS","INDETERMINADO",2.7777705,-60.5077213
"3013","21/09/2017 13:09:00","PA OLHO D AGUA I / MOJU","MOJU","PA","ATIVIDADE AGROPECUÁRIA","LIMPEZA DE ÁREA PARA CULTIVO",-2.2524163,-48.7918587
"3014","13/10/2016 17:10:00","KADIWÉU","PORTO MURTINHO","MS","OUTRAS CAUSAS","INDETERMINADO",-20.7648109,-57.3108377
"3015","15/08/2017 07:08:00","ACAMPAMENTO IRMÃ TEREZA","QUIXERAMOBIM","CE","OUTRAS CAUSAS","INDETERMINADO",-5.1981539,-39.2979145
"3016","06/08/2016 11:08:00","LINHA MA 3","MACHADINHO D'OESTE","RO","ACIDENTE","CONFECÇÃO DE ACEIRO",-9.4251996,-62.0024651
"3017",NA,"FAZ. SÃO MIGUEL","CORUMBA","MS",NA,NA,-19.0123264,-57.6538748
"3018","25/08/2016 07:08:00","BR 364, Km 78","PORTO VELHO","RO","OUTRAS CAUSAS","VANDALISMO",-8.7635576,-63.8971704
"3019",NA,"BR 135, SAÍDA PARA SÃO DESIDÉRIO","BARREIRAS","BA",NA,NA,-12.1477483,-44.9953475
"3020","10/04/2016 14:04:00","ARAÇÁ","AMAJARI","RR","ATIVIDADE AGROPECUÁRIA","RENOVAÇÃO DE PASTAGEM NATURAL",3.6541852,-61.4190754
"3021","21/07/2018 13:07:00","MARAIWATSEDE","ALTO BOA VISTA","MT","OUTRAS CAUSAS","INDETERMINADO",-11.7036923,-51.6244307
"3022","19/10/2016 15:10:00","PA CEDRO / TARTARUGALZINHO","TARTARUGALZINHO","AP","OUTRAS CAUSAS","INDETERMINADO",1.5056624,-50.9118916
"3023","22/09/2017 10:09:00","PORQUINHOS","BARRA DO CORDA","MA","EXTRATIVISMO","CAÇA",-6.0924461,-45.5639787
"3024","04/09/2020 17:09:00","Aldeia Bacaiuval","CAMPO NOVO DO PARECIS","MT","ACIDENTE","REIGNIÇÃO",-13.6313127,-58.2870564
